,Bar Name,Address,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
178,The Garden Bar at Mama Shelter,"437 Hackney Road, London, E2 8PP",With both an indoor bar and a terrace the space balances eclectic decorations that we've come to expect from this chic hotel chain with cozy furnishings perfect for losing yourself in.,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,5PM - 12AM,5PM - 12AM
179,The Proofing Room underneath Milroys of Spitalfields,"76 Commercial Street, London, E1 6LY","Their Eastern outpost, houses The Proofing Room - a glamorous basement cocktail bar, as well as a Members Club and a whisky bar, who’s walls are lined with over 1000 whiskies.
In The Proofing Room there will be a bespoke Craigellachie cocktail menu on offer, as well as a bottled cocktail which will be available to drink in or takeaway.
On the ground floor whisky bar, you can opt for a Craigellachie flight accompanied with a charcuterie pairing for each whisky. Choosing this will also give you the opportunity to spin to win a free dram of the 31 year old!",Closed,6PM - 11PM,6PM - 11PM,6PM - 11PM,6PM - 11PM,6PM - 11PM,Closed
180,The 40 Elephants at Great Scotland Yard Hotel,"3-5 Great Scotland Yard, London, SW1A 2HN","Taking it's name from a notorious all-female gang and flavour inspiration from the earliest British book of cocktails ""Cooling Cups and Dainty Drinks” by William Terrington, in what was once Detective Unit of Metropolitan Police also known as Scotland Yard.",3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 11PM,11AM - 12AM,11AM - 12AM,11AM - 11PM
181,Publiq.,"1D Palace Gate, London, W8 5LS","Centring on People, Produce and Positive impact, Publiq. is designed to be a modern take on the classic public house - a place to inspire community spirit and bring both locals and visitors to the area together. Serving continental inspired, sustainable and quality-driven sharing plates, seasonal cocktails, organic wines and locally sourced beers in a refined yet relaxed and inclusive setting.",Closed,4PM - 11:30PM,4PM - 11:30PM,4PM - 11:30PM,4PM - 11:30PM,12PM - 11:30PM,12PM - 10PM
182,Flight Club Islington,"56 Upper Street, London, N1 0NY","Flight Club Islington impressively combines the warmth of a British pub with the excitement of a fairground, with a unique twist, and a nod to Upper Street.",11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12:30AM,11:30AM - 2AM,11:30AM - 2AM,11:30AM - 11:30PM
183,The Green Room,"101 Upper Ground, London, SE1 9PP","Large open-air neighbourhood garden bar and restaurant, where the menu is guided by sustainability and they serve pizzas and delicious fresh cocktails.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,11AM - 11PM,12PM - 6PM
184,Swift Shoreditch,"91-93 Great Eastern Street, London, EC2A 3HZ",Latest venue from the husband and wife team of award-winning Swift Soho. With more of a focus on food alongside their notoriously delicious drinks this is a welcome addition to the area and well worth a stop in for something light and fizzy early afternoon!,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 11:30PM
185,"Rondo in The Hoxton, Holborn","199-206 High Holborn, London, WC1V 7BD","The kind of spot you want at the end of your street. Serious about food and drink, but with a welcoming vibe within this brilliantly located Holborn hotel.",7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM
186,"Albie in The Hoxton, Southwark","40 Blackfriars Road , London, SE1 8PB","A neighbourhood-feel lobby bar in Southwark with an all-natural wine list, comfy sofas and an ever-changing rosta of food pop-ups to enjoy with a drink.",7AM - 12PM,7AM - 12PM,7AM - 12PM,7AM - 12PM,7AM - 1AM,7AM - 1AM,7AM - 12PM
187,BrewDog Seven Dials,"142 Shaftesbury Avenue, London, WC2H 8HJ","BrewDog Seven Dials offers an amazing range of draft beer and food including our super popular full burger and wings menu, as well as serving up brunch on the weekends – the perfect way to begin a day’s sightseeing in London.",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 11PM,12PM - 11PM,12PM - 9PM
188,London Shuffle Club,"4 Ebor Street, London, E1 6AW","A slice of Miami in Shoreditch, the London Shuffle Club is all about good times. Head to the Airstream cocktail bar on the huge outdoor terrace, or indoors for shuffleboard fun.",4PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 9PM
189,Vinegar Yard,"72-82 St. Thomas Street, London, SE1 3QX","Vinegar Yard has a freshly designed mezzanine and rooftop bar, as well as an outdoor space, perfect for those wanting to catch sunshine in the city. Street food, art, and views of the Shard. What else could you want!",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 12AM,12PM - 10PM,12PM - 10PM
190,Lina Stores,"20 Stable Street, London, N1C 4DR","Housed a glorious Victorian transit shed in the heart of Kings Cross, there's a focus on the best that Italy has to offer, so start dreaming of fresh pasta, meats, cheeses, antipasti and much more.",12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10PM
191,Pergola on the Wharf,"Crossrail Place, London, E14 5AR","Perched above Canary Wharf’s northern dock with panoramic views Pergola On The Wharf is a botanical waterside Eden, grown for naturally good times with three bars, food pop-ups, drinking, dancing, live music and DJ sets late into the night.",12PM - 11AM,12PM - 11AM,12PM - 12AM,12PM - 12AM,12PM - 1AM,11AM - 1AM,11AM - 11PM
192,The Prince,"14 Lillie Road, London, SW6 1TT","One street, three bars, four restaurants and a huge woodland garden. All connected together to create one big, beautiful, bountiful venue. The perfect neighbourhood establishment.",12PM - 10:30PM,12PM - 10:30PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 10PM
193,Lost in Brixton,"Brixton Village, Coldharbour Lane, London, SW9 8PS","A tropical jungle hidden away above Brixton Market with Latin-American inspired drinks, food from the market vendors delivered to your table and good times. Hard to find, easy to love.",5PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,11:30AM - 12AM,11:30AM - 10PM
194,Bar 45,"45 Park Lane, London, W1K 1PN","A striking central staircase in the 45 Park Lane hotel leads you up to the mezzanine, where the bar is waiting with its famous Negronis and latest art exhibitions on the walls.",12PM - 5PM,12PM - 5PM,12PM - 5PM,12PM - 5PM,12PM - 5PM,12PM - 3PM,12PM - 3PM
195,The Bar at Sea Containers Restaurant,"20 Upper Ground, London, SE1 9PD","Designed by visionary Tom Dixon, Sea Containers Restaurant is an all-day dining experience on the South Bank. In the middle of the room you'll find the monumental stainless steel island bar, serving up delicious drinks throughout the week. The yellow submarine above the bar plays on the maritime theme and gives it a twist by making it yellow (also a nod to The Beatles) and is an actual replica of a submarine – made by Premier Ship Models.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,5PM - 11PM,12PM - 11PM
196,CLF Art Lounge & Rooftop,"4a Station Way, London, SE15 4RX ","The CLF Art Lounge & Rooftop supported by Hennessy is a throwback to the 1920’s New York speakeasy jazz vibes. Hospitality & cocktails are their craft, music is their passion!",Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 12:30AM,1PM - 12:30AM,1PM - 11PM
197,Gibney’s London x Daffodil Mulligan,"70-74 City Road, London, EC1Y 2BJ","Restaurant on the ground floor with food from Richard Corrigan and Simon Merrick and cocktail bar in the basement focusing on Irish beers, Stout and spirits.",Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 1AM,5PM - 1AM,12:30PM - 8PM
198,Nebula,"455 Hackney Road , London, E2 9DY","Home to craft pizza, curated cocktails, a tonne of beers, fresh spritzes, negronis to die for, and the garden courtyard, Nebula is a neighbourhood oasis in East London.",4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,9AM - 11PM,9AM - 11PM
199,Ham Yard Bar & Restaurant at Ham Yard Hotel,"1 Ham Yard, London, W1D 7DT","In the midst of Soho and moments from Mayfair, Ham Yard Bar & Restaurant offers a selection of signature and sparkling cocktails and tailor-made martinis. Many of the ingredients are homemade including syrups, bitters and tonics, along with a selection of home grown produce from Ham Yard Hotel’s own vegetable garden and urban beehives.",11AM - 9:30PM,11AM - 9:30PM,11AM - 9:30PM,11AM - 9:30PM,11AM - 9:30PM,11AM - 9:30PM,11AM - 9:30PM
200,Oscar Bar at Charlotte Street Hotel,"15-17 Charlotte Street, London, W1T 1RJ",Oscar Bar and Terrace stretches from the hotel ground floor out onto Charlotte Street - it's a perfect spot for people watching with a delicious cocktail in hand.,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM
201,Refuel Bar & Restaurant at The Soho Hotel,"4 Richmond Mews, London, W1D 3DH","The Refuel Bar & Restaurant within the Soho Hotel is a super bright, bustling hotel bar set on the ground floor. Always buzzy with a perfect vibe almost any time of day, this is a great spot right in the centre of Soho tucked away on Richmond Mews.",7AM - 11PM,7AM - 11PM,7AM - 11PM,7AM - 11PM,7AM - 11PM,7AM - 11PM,8AM - 11PM
202,The Hari Bar and Garden Terrace,"20 Chesham Place, London, SW1X 8HQ","Intimate yet glamorous, The Hari Bar and Garden Terrace is the perfect place to enjoy long lazy lunches or relax and unwind with a cocktail after a busy day in London.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM
203,Moto,"7 Maiden Lane, London, WC2E 7NA","The UK's first Japanese sake bar, shop, and eatery! Home to a whole wall of sake and a whole lot of knowledge, enjoy Japanese food and drinks not available anywhere else.",Closed,12PM - 12AM,12PM - 12AM,12PM - 12:30AM,12PM - 12:30AM,12PM - 12:30AM,12PM - 10PM
204,Charlie's Bar at Brown's Hotel,"Brown's Hotel, Albemarle Street, London, W1S 4BP ","Charlie’s Bar, situated at the entrance of the restaurant provides a serene environment with comfortable seating. Guests can sample a variety of different cocktails including three signature ones as well as delicious sharing plates to be enjoyed by all.",4PM - 8PM,4PM - 8PM,4PM - 8PM,4PM - 8PM,4PM - 8PM,4PM - 8PM,12PM - 6PM
205,Café Boheme,"13 Old Compton Street, London, W1D 5JQ","Cafe Boheme is a place to eat and drink in laid-back bonhomie, inspired by the 19th century French poets who used to meet on Old Compton Street. Part of Soho House group - expect all the delicious usuals without the membership fee!",8AM - 1AM,8AM - 1AM,8AM - 1AM,8AM - 1AM,8AM - 3AM,9AM - 3AM,9AM - 12AM
206,TOLA,"56 Peckham High Street, London, SE15 5DP ","TOLA evolved over lockdown from a grass roots music venue championing cutting edge dance music in a raw and authentic setting. It's re-emerged as a laid back cocktail bar, roof terrace and kitchen serving up tasty southern-style american BBQ, whilst maintaining its rugged charm and offering of late nights in a lively environment.",Closed,5PM - 2AM,5PM - 2AM,5PM - 2AM,5PM - 2AM,2PM - 2AM,Closed
207,Dalston Superstore,"117 Kingsland High Street, London, E8 2PB","Dalston Superstore is your big queer paradise - a diverse and eclectic LGBTQ+ venue, cafe, gallery and performance space. Their food is currently in partnership with Essential Vegan Kitchen and they have recently re-opened their basement as a brand new sleazy subterranean bar called Meatpacking! Woof.",Closed,5PM - 1:30AM,5PM - 2:30AM,5PM - 2:30AM,12PM - 3AM,12PM - 3AM,12PM - 2:30AM
208,"Sophie's Steakhouse, Soho","42-44 Great Windmill Street, London, W1D 7NB","Sophie's draws inspiration from New York steakhouses, with fishbowl martinis and dry-aged steaks served in a lush surrounding, with the natural Soho flair.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 10PM
209,The Little Orange Door,"16a Clapham Common South Side, London, SW4 7AB","The Little Orange Door is the latest bar opening from Little Door & Co, the group behind the award winning Little Blue Door and Little Yellow Door cocktail bars, serving up weekly dinner, cocktails, weekend bottomless brunches and late night vibes.",Closed,Closed,5PM - 12AM,5PM - 1AM,5PM - 2AM,11:30AM - 5PM,11:30AM - 7PM
210,The Queen of Hoxton,"1 Curtain Road , London, EC2A 3JX","Bar, nightclub, roof terrace and performance space, Queen of Hoxton is a staple of the East End’s cultural fabric, complete with neon signs, bold design quirks and an inventive cocktail list.",Closed,Closed,4PM - 12AM,4PM - 2AM,4PM - 2AM,4PM - 2AM,Closed
211,The Book Club,"100-106 Leonard Street, London, EC2A 4RH","The Book Club is a Shoreditch hotspot bursting with nocturnal life, serving up cocktails, pizza and DJs on Fridays and Saturdays.",Closed,Closed,4PM - 12AM,4PM - 2AM,4PM - 3AM,4PM - 3AM,Closed
212,Colours Hoxton,"2-4 Hoxton Square, London, N1 6NU","Bar, club and creative hub in Hoxton Square, Colours Hoxton is home to The Orange Buffalo, famous for its NY-style chicken wings. Swing by the venue for cocktails, art and disco playlists.",Closed,Closed,4PM - 11PM,4PM - 12AM,4PM - 1AM,4:30PM - 1AM,Closed
213,Henrietta Hotel,"14-15 Henrietta Street, London, WC2E 8QH",The Henrietta Bar is a bustling bar with a quirky cocktail list and an extraordinary selection of Cognacs. This little gem is located in the heart of Covent Garden tucked away on Henrietta Street.,Closed,Closed,12PM - 11:15PM,12PM - 11:15PM,12PM - 12:15PM,12PM - 12:15PM,12PM - 10:15PM
214,Goods Way,"11 Goods Way, London, N1C 4DP","Goods Way draws inspiration from all corners of the world, whilst retaining its British roots, they celebrate independence and have partnered with some of the best operators and creators to make a true destination venue.",Closed,Closed,2:30PM - 10PM,2:30PM - 10PM,2:30PM - 10PM,2:30PM - 10PM,Closed
215,SUSHISAMBA Covent Garden,"35 The Market Building, London, WC2E 8RF","Located at the famed Opera Terrace atop the historic Market Building, SUSHISAMBA Covent Garden is bold in design offering a host of dining and drinking experiences from its airy living canopy bar area to the dining room with the theatre-style open kitchen overlooking The Piazza below.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM
216,Wild By Tart,"3-4 Eccleston Yards, London , SW1W 9AZ","A beautiful space specialising in wines, local beers, carefully selected spirits and fresh homemade juices. A seasonal and exciting cocktail list combining classics with fresh new flavours.",Closed,5:30PM - 11:30PM,5:30PM - 11:30PM,5:30PM - 11:30PM,12PM - 12AM,12PM - 12AM,Closed
217,The Duchess of Dalston,"392 Kingsland Road, London, E8 4AA","From the minds behind the award-winning Callooh Callay, The Duchess of Dalston steps out from behind the wardrobe doors to welcome you to the world’s favourite new neighbourhood bar!",Closed,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,Closed
218,[Roots] Plant Packed Cocktail Bar,"3-4 West Park Walk, East Village, London, E20 1DH","Step into [ROOTS], your plant-packed community Cocktail Bar to discover the universe of drinks inspired by Nature. From the Seed to the Flower they specialise in their own homemade ingredients.",Closed,Closed,5PM - 11PM,5PM - 11PM,5PM - 11:30PM,3PM - 11:30PM,3PM - 10PM
219,The Lucky Club Mayfair,"56 Davies Street, London, W1K 5JF ","The Lucky Club Mayfair is a hidden cocktail bar in the heart of Mayfair. They specialise in unique cocktails, Bao and Asian small plates with a Japanese junk food twist and are passionate about spreading positive vibes.",Closed,Closed,5PM - 11PM,5PM - 11:30PM,5PM - 12AM,11AM - 12AM,5PM - 10:30PM
220,ROVI,"59 Wells Street, London, W1A 3AE","ROVI, part of the Ottolenghi group, features a large central bar with cocktails based on fermentation, fire & preservation, alongside a dynamic low-intervention wine list from small producers.",5PM - 10:30PM,5PM - 10:30PM,5PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 4PM
221,The Cadogan Arms,"298 King’s Road, London, SW3 5UG","Chelsea’s newest local boozer, The Cadogan Arms offers pub classics and seasonal dishes alongside classically inspired cocktails, twelve beers on tap, biodynamic wines and an extensive reserve list.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 9PM
222,The Distillery Bankside,"Hilton London Bankside, 2-8 Great Suffolk Street , London, SE1 0UG","The Distillery pays homage to the hotel’s heritage by highlighting its gins and local craft beers. Inspired by this history, the bar mixes signature cocktails and uses homemade aromatics, infusions, and bitters to accent the drinks.",3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM,3:30PM - 10:30PM
223,Skylight Peckham,"120 Peckham Hill Street, London, SE15 5JT","Incredible interiors with booths on an unrivalled terrace means there’s more than one way to enjoy London’s best vista. Alongside the extensive cocktail list Skylight Peckham’s Head Chef Karan Gosh, designed his menu around locally-sourced seasonal food.",10AM - 12:30AM,10AM - 12:30AM,10AM - 12:30AM,10AM - 12:30AM,10AM - 1AM,10AM - 1AM,10AM - 12:30AM
224,Jacks Bar,"96 Isabella Street, London, SE1 8DD",Jack’s Bar is the brainchild of owners Ryan and John McElhinney. The trendy cocktail bar tucked away in Southwark is situated in a stylish converted railway arch in Isabella Street.,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11:30PM,12PM - 12AM,12PM - 12AM,Closed
225,Park Tavern,"212 Merton Road, London, SW18 5SW","An independent gastropub with a menu strongly focused on South African food, wine and drinks. All meats are cooked on the wood fired braai for extra depth of flavour.",12PM - 10:45PM,12PM - 10:45PM,12PM - 10:45PM,12PM - 10:45PM,12PM - 1AM,10AM - 1AM,12PM - 10:30PM
226,Sabine Rooftop Bar,"10 Godliman Street, London, EC4V 5AJ","A dreamy rooftop escape in the City that boasts botanical décor, fruity cocktails and spectacular views of St. Paul's! Sabine is home to two outside terraces, one with a retractable roof making it perfect for the outrageously unpredictable British weather.",4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 2AM,4PM - 2AM,12PM - 2AM,12PM - 12AM
227,Cellar Door,"Wellington Street, 0 Aldwych, London, WC2E 7DN",Cellar Door is an intimate cocktail bar beneath the Aldwych in a space just big enough for cats (both feline and human) to swing - imagine 30's Berlin meets New York basement dive.,4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 1AM,2PM - 1AM,4PM - 1AM
228,Electric Shuffle Canary Wharf,"10 Cabot Square, North Colonnade, London, E14 4EY","Electric Shuffle Canary Wharf is a delightfully immersive and outrageously thrilling venue, serving delicious food and drinks across two spectacular bars, where shuffleboard has been reimagined.",11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12:30AM,11:30AM - 12:30AM,11AM - 12:30AM,11:30AM - 11:30PM
229,Electric Shuffle London Bridge,"10 Bermondsey Street, London, SE1 2ER","Electric Shuffle London Bridge has two awe-inspiring bars, a menu of incredible dishes, and ten electric shuffleboards threaded throughout the arches: it's a beautiful venue destined to be discovered.",11:30AM - 10:45PM,11:30AM - 10:45PM,11:30AM - 10:45PM,11:30AM - 10:45PM,11:30AM - 11:45PM,11AM - 11:45PM,11:30AM - 10:45PM
230,The Lucky Cat at Hijingo," 90 Worship Street, London, EC2A 2BA","With a wide range of expertly-crafted cocktails and an epic street food-inspired menu, you can eat, drink and play, as you take a glimpse into the future of bingo.",4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,5PM - 11:30PM,2PM - 11:30PM,12PM - 5PM
231,Mrs Riot,"10 Henrietta Street, London, WC2E 8PS","A brand new pleasure den now open in the heart of Covent Garden; a non-stop, experience led bistro and cocktail destination with live music every night. Fun!",Closed,4PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 12AM,11AM - 12AM,12PM - 10:30PM
232,Marsha,"Gabriel's Wharf, 56 Upper Ground, London, SE1 9PP","Marsha serves chicken packed with flavour, sourced to the highest welfare standards - and leaving nothing to waste. Plus they've got the South Bank's best views, and a fantastic list of signature cocktails.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 7PM
233,Bar Liber,"274b St Paul’s Road, London, N1 2LJ","Named after the Roman God of wine, viticulture, fertility & freedom, Bar Liber was created with the sole purpose of making wine fun again! We can concur - it succeeds.",9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 12AM,9AM - 12AM,9AM - 7PM
234,Kraft Dalston,"Kingsland Locke, 130a Kingsland High Street, London, E8 2LQ",KRAFT Dalston houses a sustainably managed microbrewery and gin distillery and much loved modern kebab restaurant Lebab. The perfect place to enjoy fresh tank beer and cocktails!,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 10:30PM
235,Jim and Tonic,"Mercato Metropolitano, St Mark's , North Audley Street, London, W1K 6ZA","Set in Mercato Metropolitano Mayfair, a Grade II listed church, Jim and Tonic is set up by the altar serving a range of sustainable G&Ts and carefully curated cocktails.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 10PM
236,Ogam Tapas Bar,"10 Chapel Market, London, N1 9EZ",Small and perfectly formed - this authentic Korean cocktail bar is a real hidden gem. TK - their super passionate head bartender is joyful and makes very delicious drinks as well as brewing his own spirits here in London. We recommend getting a seat at the bar and enjoying Korean hospitality at it's finest. Oh and stay for supper.,Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM
237,KIBOU Japanese Bar & Restaurant,"175-177 Northcote Road, London, SW11 6QF","Bringing the taste of Tokyo to Battersea, KIBOU is a must for any Japanese food and drink lover in London. Here you’ll find some of the best names in Japanese whisky jostling for shelf space with a premium range of sake and shōchū, great wines, iconic high balls and some truly elegant cocktails.",Closed,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 10PM
238,Sachi at Pantechnicon,"Lower Ground Floor , 19 Motcomb Street, London, SW1X 8LB ","Private booths set in a Japanese garden, an intimate sushi counter and a late-night bar inspired by Tokyo's secret speakeasies, found on the ground floor of the wonderful Pantechnicon building.",Closed,5PM - 12AM,5PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,Closed
239,Eldr Roof Garden & Bar at Pantechnicon,"Third Floor , 19 Motcomb Street, London, SW1X 8LB ","If you find your way up to this rooftop oasis, you’re in for a treat! You can’t help but relax in the light, bright and open green space – and the Nordic style drinks and sharing plates only add to the appeal…",Closed,Closed,5PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM
240,La Rampa,"8 Market Place, London, W1W 8AG","Bar La Rampa is a bar and restaurant inspired by the decadence of 1950’s Havana. Expect classic rum cocktails, Cuban inspired small plates and regular live music.",Closed,5PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 12AM,Closed
241,Bandra Bhai,"79-81 Mortimer Street (under the Pali Hill restaurant), London, W1W 7SJ",This intimate 1970’s India inspired ‘smugglers den’ speakeasy style cocktail bar serves unique bespoke cocktails in a stunning setting.,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,Closed
242,The Lock Inn,"27 East Bay Lane, London, E15 2GW","New venture from three brothers and a friend who always dreamed of opening a true local with a warm welcome, great food, great cocktails and great beers in a brilliant location. The Lock Inn is a proper Hackney Wick neighbourhood pub nestled on the banks of the River Lee Navigation. Muddy boots and friendly dogs are always welcome here!",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11PM
243,The Laundry Restaurant,"374 Coldharbour Lane , London, SW9 8PL","A bustling all-day neighbourhood restaurant, café and wine shop, with a Kiwi twist from the team behind Specialist Cellars in POP Brixton.",8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 12AM,8AM - 12AM,9AM - 12AM,9AM - 12AM
244,Tabac Bar,"16 Fortess Road, London, NW5 2EU",Tabac Bar brings vibrant energy and bohemian spirit to Kentish Town. The place to go to immediately feel consumed with one another’s company over endless ballons of wine and unrecognisable boutique cocktails.,Closed,Closed,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,Closed
245,Le Cocktail Shop,"The Billiard Factory, 443-449 Holloway Road, London, N7 6LJ ","London’s first off-the-shelf, bottled cocktail shop & bar, complete with a gorgeous urban terrace. Mouthwatering, high quality, beautifully bottled cocktails that you can enjoy whenever you want, wherever you are.",Closed,Closed,4PM - 11PM,4PM - 11PM,4PM - 12AM,3PM - 12AM,3PM - 9PM
246,The Hedgerow at Conrad London St James,"22-28 Broadway , London, SW1H 0BH","With a dramatic marbled bar and soft shades of blush and green, the glamorous cocktail bar offers a taste of the countryside, inspired by nature. The menu has been carefully crafted using British botanicals and fruits, for an intriguing collection of cocktails created by top mixologist Gregorio Soriente.",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM
247,Sunday in Brooklyn,"98 Westbourne Grove, London, W2 5RU","Sunday in Brooklyn is the perfect neighbourhood spot serving American staples. Full liquor license highlighting whimsical cocktails, natural wine, and local beers.",Closed,Closed,10AM - 11:30PM,10AM - 11:30PM,10AM - 11:45PM,10AM - 11:30PM,10AM - 10PM
248,Lockes,"32 Great Queen Street , London, WC2B 5AA","Beautiful cocktail bar focusing on doing the classics really really well. This intimate little bar just off the beaten track of Covent Garden is well worth a visit. Split over two floors, Lockes offers a beautiful art deco bar at ground floor before you descend to the basement bar where the lights become dimmer and the music a little louder.",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,3PM - 12AM,Closed
249,Christina's Bar at Mondrian Shoreditch,"45 Curtain Road, London, EC2A 3PT","All-Day Coffee, Cocktail, Natural Wine and Katsu Sando Bar Christina’s is a welcome characterful addition to East London; a cultural hub with a seamless and memorable experience from dawn to dusk.",8AM - 12AM,8AM - 12AM,8AM - 12AM,8AM - 1AM,8AM - 1AM,8AM - 1AM,8AM - 12AM
250,NBHD,"225 Ladbroke Grove, London, W10 6HQ",NBHD is a new neighbourhood cocktail bar & restaurant based in the heart of Ladbroke Grove. It's super vibrant and colourful complete with a intimate (must-try) bamboo enclosed terrace.,Closed,5PM - 10PM,5PM - 11PM,4:30PM - 11:30PM,4PM - 12:30AM,4PM - 12:30AM,Closed
251,Abajo,"47b Great Marlborough Street, London, W1F 7JP","Abajo, a new bar by industry legend Tato Giovannoni. Bringing the colour and sounds of 80s Buenos Aires to Soho. Tato's unique cocktail menu embodies the colour and rebellion of this period in history and hosts a vibrant programme of vinyl DJs and live music.",Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,Closed
252,The Macallan Manor House at Rosewood London,"252 High Holborn, London, WC1V 7EN","Set within Rosewood London’s iconic courtyard, this year’s winter terrace pop-up is inspired by a beautiful Scottish Highland manor in partnership with The Macallan, bringing a taste of the countryside to the heart of London.",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 9:30PM
253,The Light Bar,"233 Shoreditch High Street, London, E1 6PJ","Set in an old Victorian power station built in 1893, The Light Bar is a modern British bar and restaurant. Under new ownership, the focus is on local produce, seasonal drinks and three floors of good times.",4PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 10PM
254,The Malt Lounge at The Prince Akatoki,"50 Marble Arch, Great Cumberland Place, London, W1H 7FD","Intimate and sophisticated, The Malt focuses the attention on premium Japanese and international whiskies, as well as signature cocktails infused with in-house syrups and a stock variety of Japanese homegrown sake.",4:30PM - 12AM,4:30PM - 12AM,4:30PM - 12AM,4:30PM - 12AM,4:30PM - 12AM,4:30PM - 12AM,4:30PM - 12AM
255,Brumus Bar & Restaurant at Haymarket Hotel,"Haymarket Hotel, 1 Suffolk Place, London, SW1Y 4HX",Brumus Bar & Restaurant at Haymarket Hotel is a vibrant English bar and brasserie in the heart of London’s theatre district serving innovative and classic cocktails and carefully selected wines and spirits.,7AM - 10PM,7AM - 10PM,7AM - 10PM,7AM - 10PM,7AM - 10PM,7AM - 10PM,8AM - 10PM
